"filename", "language", "C++", "C", "comment", "blank", "total"
"c:\code\StudentGradeSystem\UnitTest\MainMenu.c", "C", 0, 154, 86, 16, 256
"c:\code\StudentGradeSystem\UnitTest\ShowTxtFile.c", "C", 0, 8, 0, 3, 11
"c:\code\StudentGradeSystem\UnitTest\account.h", "C++", 10, 0, 0, 1, 11
"c:\code\StudentGradeSystem\UnitTest\course.h", "C++", 9, 0, 0, 1, 10
"c:\code\StudentGradeSystem\UnitTest\delete.c", "C", 0, 183, 47, 29, 259
"c:\code\StudentGradeSystem\UnitTest\display.c", "C", 0, 58, 80, 16, 154
"c:\code\StudentGradeSystem\UnitTest\example.c", "C", 0, 11, 66, 12, 89
"c:\code\StudentGradeSystem\UnitTest\manageAccount.c", "C", 0, 101, 30, 18, 149
"c:\code\StudentGradeSystem\UnitTest\modify.c", "C", 0, 298, 56, 44, 398
"c:\code\StudentGradeSystem\UnitTest\score.c", "C", 0, 45, 63, 20, 128
"c:\code\StudentGradeSystem\UnitTest\score.h", "C++", 11, 0, 0, 2, 13
"c:\code\StudentGradeSystem\UnitTest\search.c", "C", 0, 197, 22, 29, 248
"c:\code\StudentGradeSystem\UnitTest\statistics.c", "C", 0, 319, 28, 44, 391
"c:\code\StudentGradeSystem\UnitTest\store_info.c", "C", 0, 92, 116, 27, 235
"c:\code\StudentGradeSystem\UnitTest\student.h", "C", 0, 11, 0, 3, 14
"c:\code\StudentGradeSystem\UnitTest\summary.c", "C", 0, 100, 9, 15, 124
"c:\code\StudentGradeSystem\UnitTest\testout.c", "C", 0, 112, 367, 68, 547
"Total", "-", 30, 1689, 970, 348, 3037
